n,model,mean_runtime,median_runtime,min_runtime,max_runtime,optimal_count,timelimit_count,num_runs
5,M1 optimized,0.0019080817699432373,0.001685500144958496,0.00028705596923828125,0.015440940856933594,40,0,40
5,M2 optimized,0.0006023049354553223,0.0005710124969482422,0.0002009868621826172,0.001293182373046875,40,0,40
5,M3 optimized,0.00047377347946166994,0.0004175901412963867,0.00014495849609375,0.000985860824584961,40,0,40
10,M1 optimized,0.007754194736480713,0.006422519683837891,0.0026280879974365234,0.024322032928466797,40,0,40
10,M2 optimized,0.0027612149715423584,0.0017249584197998047,0.001127004623413086,0.00925588607788086,40,0,40
10,M3 optimized,0.001465761661529541,0.0014710426330566406,0.0005571842193603516,0.00593113899230957,40,0,40
15,M1 optimized,0.03881250619888306,0.02331697940826416,0.012160062789916992,0.23145294189453125,40,0,40
15,M2 optimized,0.012563353776931763,0.007603049278259277,0.002750873565673828,0.1368870735168457,40,0,40
15,M3 optimized,0.0054807841777801515,0.002897977828979492,0.0012698173522949219,0.08149385452270508,40,0,40
20,M1 optimized,1.0403775155544281,0.15585744380950928,0.05130910873413086,23.303930044174194,40,0,40
20,M2 optimized,0.18046547770500182,0.041260600090026855,0.007925033569335938,1.9725470542907715,40,0,40
20,M3 optimized,0.02103595733642578,0.0131455659866333,0.0042917728424072266,0.1289060115814209,40,0,40
