n,model,mean_runtime,median_runtime,min_runtime,max_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_runs
3,M1 Opt,0.0003199279308319092,0.00028586387634277344,0.0001800060272216797,0.0008280277252197266,24.6,51.2,40,0,0,40
3,M2 Opt,0.0002132534980773926,0.0001919269561767578,0.00015306472778320312,0.0004639625549316406,13.8,24,40,0,0,40
3,M3 Opt,0.00021247267723083495,0.00019097328186035156,0.0001418590545654297,0.0006721019744873047,8.2,16.2,40,0,0,40
5,M1 Opt,0.0015408515930175782,0.0016914606094360352,0.0003139972686767578,0.0034110546112060547,57.4,118,40,0,0,40
5,M2 Opt,0.0006198287010192871,0.0006060600280761719,0.00025391578674316406,0.0014519691467285156,31.6,49.8,40,0,0,40
5,M3 Opt,0.000537651777267456,0.0004469156265258789,0.00015997886657714844,0.002207040786743164,18.35,39.45,40,0,0,40
7,M1 Opt,0.003185713291168213,0.0032559633255004883,0.0013608932495117188,0.006468057632446289,107.4,219.2,40,0,0,40
7,M2 Opt,0.0011290788650512695,0.0010704994201660156,0.0006730556488037109,0.0019490718841552734,58,84.2,40,0,0,40
7,M3 Opt,0.0009048163890838623,0.0009015798568725586,0.0002570152282714844,0.0017461776733398438,31.05,70.7,40,0,0,40
